TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2020,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Albuquerque Area Federal,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2020,,,,,,(b) (6) 
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,(b) (6) ,,,,,,,
2,(b) (6) ,,,,,,,
3,(b) (6) ,,,,,,,
4,(b) (6) ,,,,,,,
5,(b) (6) ,,,,,,,
6,(b) (6) ,,,,,,,
7,(b) (6) ,,,,,,,
8,(b) (6) ,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,No Note for Albuquerque Area,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Bemidji Area Federal,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2020,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,Bemidji Area Tribal-None,,,,,,,
,,,,,,,,
,,,,,,,,
,Billing Area Federal,,,,,,,
,None for FY 2020,,,,,,,
,,,,,,,,
,,,,,,,,
,California Area No Federal and Tribal FY 2020,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Great Plains Area Federal and Tribal NONE FY 2020,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2020,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,Nashville Area Federal,,,,,,,
,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2020,,,,,,
,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,(b) (6) ,,,,,,,
2,(b) (6) ,,,,,,,
3,(b) (6) ,,,,,,,
4,(b) (6) ,,,,,,,
5,(b) (6) ,"Beverly Cotton, Nashville Area Director",7/15/2020,352,Not Applicable,(b) (6) ,Pending at HQs,
6,(b) (6) ,,,,,,,
7,,"Beverly Cotton, Nashville Area Director",3/19/20,30,Not Applicable,(b) (6) ,"Pending at HQs, awating additional inforamtion.",
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,Navajo Area Federal and Tribal FY 2020 NONE,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2020,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Oklahoma Area Federal-No report. Oklahoma Area Tribal 2 Tribes FY 2020,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2020,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,Phoenix Area Federal and Tribal FY 2020,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2020,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,Portland Area Federal and Tribal FY 2020,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2020,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,"Tucson Area Federal, also none for Tucson Tribal FY 2020",,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2020,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
,,,,,,,,
,,,,,,,,
,FORMS,,,,,,,
TABLE 5,,,,,,,,
,,PRC Delivery Area / Service Delivery Area Changes,,,,,,
,,FY 2020,,,,,,
IHS AREA:,,,,,,,,
(A),,(B),(C),(D),(E),(F),(G),
"Service Unit
 Requesting Change",,Requested By Name & Title,Date of Request,Estimated Population Increase,Other Tribes Affected by PRC DA/SDA Change,"Tribal Consultation completed with other Tribes Affected - 
Tribe Name and Dates",Current Status,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
