"REC_TX_DT_MONTH","N_TX"
2019-01-01,669
2019-02-01,628
2019-03-01,760
2019-04-01,684
2019-05-01,703
2019-06-01,704
2019-07-01,645
2019-08-01,758
2019-09-01,716
2019-10-01,701
2019-11-01,663
2019-12-01,714
2020-01-01,697
2020-02-01,738
2020-03-01,643
2020-04-01,567
2020-05-01,727
2020-06-01,710
2020-07-01,753
2020-08-01,720
2020-09-01,705
2020-10-01,741
2020-11-01,731
2020-12-01,672
2021-01-01,699
2021-02-01,650
2021-03-01,779
2021-04-01,768
2021-05-01,762
2021-06-01,797
2021-07-01,797
2021-08-01,707
2021-09-01,661
2021-10-01,698
2021-11-01,715
2021-12-01,700
